x_values,total_1,total_2,total_3
0,1000,1000,1000
1,997,1006,997
2,995,1002,997
3,991,1008,998
4,988,1007,998
5,985,1009,1003
6,980,1014,998
7,975,1013,998
8,980,1015,995
9,979,1020,1001
10,983,1019,999
11,986,1024,999
12,982,1030,999
13,988,1025,996
14,996,1022,993
15,994,1017,991
16,994,1016,989
17,1002,1019,995
18,1005,1025,990
19,1011,1028,986
20,1006,1025,993
21,1002,1027,996
22,999,1022,998
23,998,1024,1001
24,1001,1028,996
25,1006,1027,994
26,1008,1024,998
27,1014,1028,1005
28,1009,1024,1009
29,1008,1028,1012
30,1007,1023,1007
31,1001,1027,1002
32,1004,1027,1000
33,1002,1024,999
34,1007,1022,1004
35,1002,1023,1008
36,996,1022,1009
37,996,1019,1008
38,999,1025,1008
39,1002,1028,1014
40,1003,1033,1013
41,997,1034,1009
42,999,1034,1015
43,1005,1035,1016
44,1013,1041,1013
45,1019,1038,1015
46,1015,1033,1016
47,1012,1036,1013
48,1018,1040,1011
49,1019,1038,1014
50,1015,1038,1009
51,1023,1042,1012
52,1021,1039,1007
53,1023,1043,1011
54,1030,1043,1008
55,1025,1047,1015
56,1032,1052,1018
57,1032,1050,1021
58,1039,1046,1017
59,1040,1051,1014
60,1042,1050,1009
61,1044,1053,1007
62,1051,1056,1012
63,1055,1054,1018
64,1060,1054,1019
65,1060,1054,1026
66,1068,1050,1028
67,1066,1053,1030
68,1065,1056,1032
69,1073,1056,1030
70,1080,1056,1025
71,1079,1060,1027
72,1083,1057,1032
73,1090,1053,1030
74,1096,1056,1027
75,1096,1061,1027
76,1093,1064,1025
77,1099,1066,1030
78,1096,1066,1029
79,1090,1064,1036
80,1088,1061,1034
81,1084,1061,1037
82,1080,1057,1033
83,1077,1061,1035
84,1074,1059,1041
85,1080,1063,1044
86,1087,1060,1050
87,1091,1063,1054
88,1099,1062,1056
89,1096,1059,1058
90,1092,1058,1054
91,1095,1062,1059
92,1103,1064,1065
93,1099,1070,1062
94,1106,1073,1059
95,1110,1075,1064
96,1105,1077,1062
97,1101,1079,1060
98,1102,1084,1059
99,1096,1079,1065
100,1093,1084,1064
101,1096,1089,1069
102,1098,1084,1073
103,1094,1079,1071
104,1092,1081,1075
105,1096,1084,1077
106,1098,1090,1081
107,1105,1085,1085
108,1107,1087,1087
109,1111,1092,1086
110,1116,1092,1089
111,1120,1095,1089
112,1116,1094,1086
113,1120,1093,1088
114,1114,1090,1085
115,1116,1089,1081
116,1119,1089,1088
117,1118,1094,1091
118,1115,1099,1092
119,1110,1101,1088
120,1108,1106,1091
121,1114,1102,1087
122,1117,1105,1093
123,1125,1106,1090
124,1132,1108,1093
125,1131,1113,1098
126,1125,1110,1104
127,1119,1111,1104
128,1127,1113,1104
129,1126,1112,1108
130,1121,1110,1108
131,1125,1106,1109
132,1132,1109,1108
133,1129,1115,1114
134,1132,1121,1115
135,1140,1123,1114
136,1141,1123,1110
137,1138,1128,1108
138,1139,1126,1106
139,1137,1125,1113
140,1142,1128,1109
141,1140,1133,1113
142,1144,1131,1113
143,1141,1129,1110
144,1142,1132,1108
145,1147,1132,1104
146,1155,1127,1108
147,1159,1129,1112
148,1158,1130,1108
149,1166,1133,1113
150,1161,1137,1114
151,1156,1137,1120
